source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
review_preferences,belongs_to_review_refer,topics,id,FKReview_preferencebelong,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
reviewed_contributions,id,submitted_contributions,id,FKReviewed_contributionURI,,,367,367,367,367,1.0,1.0,1.0,1.0,1.0,367,367,equivalence_column
reviewer_reviewer,reviewer1,reviewers,id,FKinvited_byReviewer1,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
reviewer_reviewer,reviewer2,reviewers,id,FKinvited_byReviewer2,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
reviewers,id,persons,id,FKReviewerURI,,,477,774,477,774,0.6162790697674418,1.0,0.6162790697674418,0.881294964028777,0.6162790697674418,477,774,inclusion_column_source_to_target
reviews,id,conference_documents,id,FKReviewURI,,,734,1475,734,1475,0.4976271186440678,1.0,0.4976271186440678,0.8356401032092524,0.5052083333333334,734,1475,inclusion_column_source_to_target
reviews,reviews,reviewed_contributions,id,FKReviewreviews,,,367,367,367,367,1.0,1.0,1.0,0.5,1.0,734,367,equivalence_column
steering_committees,id,committees,id,FKSteering_committeeURI,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
steering_committees,was_steering_committee_,conference_volumes,id,FKSteering_committeewas_a,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
submitted_contributions,id,written_contributions,id,FKSubmitted_contributionURI,,,367,734,367,734,0.5,1.0,0.5,0.8333333333333333,0.5,367,734,inclusion_column_source_to_target
topic_tutorial,conference_part,tutorials,id,FKhas_a_track-workshop-tu,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
topic_tutorial,topic,topics,id,has_a_track-workshop-t2FK,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
track_workshop_chairs,id,persons,id,FKTrack-workshop_chairURI,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
tracks,id,conference_parts,id,FKTrackURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
tracks,track_workshop_tuto,track_workshop_chairs,id,FKTrackhas_a_track-worksh,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
tracks,tracks,conference_volumes,id,FKTrackhas_tracks_Inv,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
tutorials,id,conference_parts,id,FKTutorialURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
tutorials,tutorials,conference_volumes,id,FKTutorialhas_tutorials_Inv,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
websites,id,conference_documents,id,FKConference_wwwURI,,,7,1475,7,1475,0.0047457627118644066,1.0,0.0047457627118644066,0.5069513406156901,0.007,7,1475,inclusion_column_source_to_target
workshops,id,conference_parts,id,FKWorkshopURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
workshops,track_workshop_tuto,track_workshop_chairs,id,FKWorkshophas_a_track-wor,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
workshops,workshops,conference_volumes,id,FKWorkshophas_workshops_Inv,,,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0,7,weak_or_conflicting
written_contributions,id,conference_contributions,id,FKWritten_contributionURI,,,734,734,734,734,1.0,1.0,1.0,1.0,1.0,734,734,equivalence_column
