source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
papers,read_by_meta_reviewer,meta_reviewers,id,FKPaperreadByMeta-Reviewer,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
papers,rejected,administrators,id,FKPaperrejectedBy,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
pc_members,id,conf_members,id,FKProgramCommitteeMemberURI,,,33,774,33,774,0.04263565891472868,1.0,0.04263565891472868,0.5408921933085502,0.04263565891472868,33,774,inclusion_column_source_to_target
pc_members,added,administrators,id,FKProgramCommitteeMembera,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
person_document,did,documents,id,FKhasConflictOfInterestDo,,,0,1468,0,1468,0.0,0.0,0.0,0.0,0.0,0,1468,weak_or_conflicting
person_document,pid,persons,id,FKhasConflictOfInterestPerson,,,0,774,0,774,0.0,0.0,0.0,0.0,0.0,0,774,weak_or_conflicting
program_committee_chair_review,pid,program_committee_chairs,id,FKendReviewProgramCommitt,,,0,6,0,6,0.0,0.0,0.0,0.0,0.0,0,6,weak_or_conflicting
program_committee_chair_review,rid,reviews,id,FKendReviewReview,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
program_committee_chairs,id,chairmans,id,FKProgramCommitteeChairURI,,,6,6,6,6,1.0,1.0,1.0,0.9999999602635701,1.0,6,6,equivalence_column
program_committee_chairs,id,pc_members,id,FKProgramCommitteeChairURI2,,,6,33,6,33,0.18181818181818182,1.0,0.18181818181818182,0.65384614161956,0.18181818181818182,6,33,inclusion_column_source_to_target
program_committee_members,program_committee,program_committees,id,FKhasProgramCommitteeMemb,,,7,7,7,7,1.0,1.0,1.0,0.5,1.0,38,7,equivalence_column
read_by_reviewer,pid,papers,id,FKreadByReviewerPaper,,,0,734,0,734,0.0,0.0,0.0,0.0,0.0,0,734,weak_or_conflicting
read_by_reviewer,rid,reviewers,id,FKreadByReviewerReviewer,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
rejections,id,decisions,id,FKRejectionURI,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
reviewer_administrator,aid,administrators,id,FKassignReviewerAdministrator,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
reviewer_administrator,rid,reviewers,id,FKassignReviewerReviewer,,,0,477,0,477,0.0,0.0,0.0,0.0,0.0,0,477,weak_or_conflicting
reviewers,id,conf_members,id,FKReviewerURI,,,477,774,477,774,0.6162790697674418,1.0,0.6162790697674418,0.881294964028777,0.6162790697674418,477,774,inclusion_column_source_to_target
reviewers,id,users,id,FKReviewerURI2,,,477,774,477,774,0.6162790697674418,1.0,0.6162790697674418,0.881294964028777,0.6162790697674418,477,774,inclusion_column_source_to_target
reviews,id,documents,id,FKReviewURI,,,734,1468,734,1468,0.5,1.0,0.5,0.9232986960581567,0.734,734,1468,inclusion_column_source_to_target
reviews,written,reviewers,id,FKReviewwrittenBy,,,477,477,477,477,1.0,1.0,1.0,0.5,1.0,734,477,equivalence_column
set_max_papers,administrator,administrators,id,FKsetMaxPapersAdministrator,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,weak_or_conflicting
users,id,persons,id,FKUserURI,,,774,774,774,774,1.0,1.0,1.0,1.0,1.0,774,774,equivalence_column
