source_table,source_column,target_table,target_column,fk_source,ind_score_from_pipeline,confidence_from_pipeline,source_distinct,target_distinct,intersection,union,manual_jaccard,source_in_target,target_in_source,valentine_coma_score,valentine_jaccard_score,sample_source_rows,sample_target_rows,evidence_type
geo_source,province,province,name,gsourcerefsprov,,,169,1576,169,1576,0.10723350253807107,1.0,0.10723350253807107,0.131072828235232,0.11238095238095239,259,1600,inclusion_column_source_to_target
islandin,lake,lake,name,islandlake,,,5,143,5,143,0.03496503496503497,1.0,0.03496503496503497,0.044833911431802285,0.03496503496503497,5,143,inclusion_column_source_to_target
islandin,river,river,name,islandriver,,,5,248,5,248,0.020161290322580645,1.0,0.020161290322580645,0.025490196078431372,0.020161290322580645,8,248,inclusion_column_source_to_target
islandin,sea,sea,name,islandsea,,,34,41,34,41,0.8292682926829268,1.0,0.8292682926829268,0.49180077702166086,0.8292682926829268,374,41,inclusion_column_source_to_target
ismember,country,country,code,membercref,,,237,244,237,244,0.9713114754098361,1.0,0.9713114754098361,0.48649789029535867,0.8647540983606558,5000,244,equivalence_column
ismember,organization,organization,abbreviation,memberorgref,,,168,168,168,168,1.0,1.0,1.0,0.5929065743944637,0.20833333333333334,5000,168,equivalence_column
lake,river,river,name,lakerefsriver,,,71,248,71,248,0.2862903225806452,1.0,0.2862903225806452,0.23980664339932528,0.29838709677419356,83,248,inclusion_column_source_to_target
language,country,country,code,langref,,,126,244,126,244,0.5163934426229508,1.0,0.5163934426229508,0.3821138211382114,0.5163934426229508,282,244,inclusion_column_source_to_target
located,lake,lake,name,locatedlake,,,35,143,35,143,0.24475524475524477,1.0,0.24475524475524477,0.2738894304352491,0.24475524475524477,80,143,inclusion_column_source_to_target
located,city,city,name,locatedrefscity,,,1223,3313,1223,3313,0.36915182613945063,1.0,0.36915182613945063,0.23382210361772685,0.28935336381450033,1264,3375,inclusion_column_source_to_target
located,country,city,country,locatedrefscity,,,217,244,217,244,0.889344262295082,1.0,0.889344262295082,0.8410693301997649,0.3037974683544304,1264,3375,inclusion_column_source_to_target
located,province,city,province,locatedrefscity,,,792,1565,792,1565,0.5060702875399361,1.0,0.5060702875399361,0.7878658905029297,0.3272933182332956,1264,3375,inclusion_column_source_to_target
located,river,river,name,locatedriver,,,152,248,152,248,0.6129032258064516,1.0,0.6129032258064516,0.4371831737841052,0.6209677419354839,479,248,inclusion_column_source_to_target
located,sea,sea,name,locatedsea,,,37,41,37,41,0.9024390243902439,1.0,0.9024390243902439,0.4977813340209024,0.9024390243902439,741,41,inclusion_column_source_to_target
locatedon,city,city,name,locatedonrefscity,,,429,3313,429,3313,0.12948988831874433,1.0,0.12948988831874433,0.0746663863688832,0.0712143928035982,435,3375,inclusion_column_source_to_target
locatedon,country,city,country,locatedonrefscity,,,104,244,104,244,0.4262295081967213,1.0,0.4262295081967213,0.7067699836867862,0.11267605633802817,435,3375,inclusion_column_source_to_target
locatedon,province,city,province,locatedonrefscity,,,242,1565,242,1565,0.1546325878594249,1.0,0.1546325878594249,0.5773450206796467,0.040522875816993466,435,3375,inclusion_column_source_to_target
locatedon,island,island,name,locatedonrefsisland,,,141,298,141,298,0.47315436241610737,1.0,0.47315436241610737,0.3990968129156719,0.4798657718120805,435,298,inclusion_column_source_to_target
mergeswith,sea1,sea,name,sea1ref,,,26,41,26,41,0.6341463414634146,1.0,0.6341463414634146,0.43397959754580545,0.6341463414634146,64,41,inclusion_column_source_to_target
mergeswith,sea2,sea,name,sea2ref,,,33,41,33,41,0.8048780487804879,1.0,0.8048780487804879,0.46692079816545756,0.8048780487804879,64,41,inclusion_column_source_to_target
mountainonisland,mountain,mountain,name,mountainonrefscity,,,70,251,70,251,0.2788844621513944,1.0,0.2788844621513944,0.2378349898388824,0.2788844621513944,70,251,inclusion_column_source_to_target
mountainonisland,island,island,name,mountainonrefsisland,,,58,298,58,298,0.19463087248322147,1.0,0.19463087248322147,0.18730696387912915,0.19798657718120805,70,298,inclusion_column_source_to_target
politics,dependent,country,code,dependentcountry,,,10,244,10,244,0.040983606557377046,1.0,0.040983606557377046,0.09712230215827339,0.040983606557377046,44,244,inclusion_column_source_to_target
politics,country,country,code,politicsref,,,244,244,244,244,1.0,1.0,1.0,0.5,1.0,244,244,equivalence_column
population,country,country,code,populationref,,,244,244,244,244,1.0,1.0,1.0,0.5,1.0,244,244,equivalence_column
province,capital,city,name,provrefscap,,,1561,3313,1561,3313,0.4711741623905826,1.0,0.4711741623905826,0.2862259231888138,0.39228070175438595,1599,3375,inclusion_column_source_to_target
province,capprov,city,province,provrefscap,,,1555,1565,1555,1565,0.9936102236421726,1.0,0.9936102236421726,0.5702182229031774,0.5604060913705584,1599,3375,equivalence_column
province,country,city,country,provrefscap,,,244,244,244,244,1.0,1.0,1.0,0.8741319444444444,0.4426229508196721,1600,3375,equivalence_column
province,country,country,code,provrefscountry,,,244,244,244,244,1.0,1.0,1.0,0.4481865284974093,0.5,1600,244,equivalence_column
religion,country,country,code,relref,,,223,244,223,244,0.9139344262295082,1.0,0.9139344262295082,0.4861294583883752,0.9139344262295082,547,244,inclusion_column_source_to_target
river,lake,lake,name,riverlake,,,24,143,24,143,0.16783216783216784,1.0,0.16783216783216784,0.16653912642906452,0.16783216783216784,31,143,inclusion_column_source_to_target
river,river,river,name,riverriver,,,62,248,62,248,0.25,1.0,0.25,0.2647367292834866,0.25806451612903225,125,248,inclusion_column_source_to_target
river,sea,sea,name,riversea,,,29,41,29,41,0.7073170731707317,1.0,0.7073170731707317,0.4576132153019761,0.7073170731707317,91,41,inclusion_column_source_to_target
riverthrough,lake,lake,name,rthroughrefslake,,,45,143,45,143,0.3146853146853147,1.0,0.3146853146853147,0.2553583307469145,0.3146853146853147,45,143,inclusion_column_source_to_target
riverthrough,river,river,name,rthroughrefsriver,,,36,248,36,248,0.14516129032258066,1.0,0.14516129032258066,0.14781508380419586,0.1532258064516129,45,248,inclusion_column_source_to_target
